YY,MM,DD,WDIR,WSPD,ATMP
2013,9,29,5.0,10.06,11.95
2013,9,30,4.0,6.76,13.95
2013,10,1,4.0,8.6,14.6
2013,10,2,6.0,11.31,14.45
2013,10,3,6.0,4.65,13.15
2013,10,4,1.0,6.58,11.6
2013,10,5,2.0,12.5,8.3
2013,10,6,2.0,8.62,9.05
2013,10,7,7.0,8.83,8.85
2013,10,8,4.0,6.65,11.15
2013,10,9,5.0,8.59,13.75
2013,10,10,5.0,4.71,12.65
2013,10,11,3.0,7.3,11.85
2013,10,12,3.0,11.63,12.4
2013,10,13,6.0,11.26,10.25
2013,10,14,5.0,4.63,9.8
2013,10,15,2.0,7.31,9.0
2013,10,16,0.0,5.47,6.9
2013,10,17,6.0,4.8,8.1
2013,10,18,0.0,4.53,6.05
2013,10,19,4.0,4.88,6.0
2013,10,20,1.0,3.38,5.45
2013,10,21,7.0,7.87,4.2
2013,10,22,0.0,8.56,2.3
2013,10,23,7.0,9.63,1.85
2013,10,24,7.0,9.35,2.55
2013,10,25,7.0,9.14,3.85
2013,10,26,0.0,12.07,3.95
2013,10,27,7.0,6.96,3.3
2013,10,28,0.0,5.82,-0.8
2013,10,29,7.0,3.52,0.4
2013,10,30,5.0,5.66,4.3
2013,10,31,0.0,3.6,7.25
2014,6,1,1.0,3.56,5.9
2014,6,2,1.0,6.36,6.1
2014,6,3,6.0,7.74,6.05
2014,6,4,5.0,4.69,10.75
2014,6,5,2.0,5.15,8.75
2014,6,6,3.0,3.62,6.6
2014,6,7,0.0,4.02,5.8
2014,6,8,6.0,6.2,6.1
2014,6,9,2.0,3.38,6.15
2014,6,10,2.0,3.54,4.8
2014,6,11,2.0,4.18,5.7
2014,6,12,2.0,5.88,6.8
2014,6,13,0.0,6.83,5.85
2014,6,14,2.0,3.6,5.85
2014,6,15,2.0,10.98,5.0
2014,6,16,5.0,7.47,7.6
2014,6,17,0.0,3.57,9.55
2014,6,18,1.0,6.44,12.5
2014,6,19,2.0,7.32,6.6
2014,6,20,2.0,6.26,6.5
2014,6,21,2.0,6.54,5.6
2014,6,22,2.0,3.78,5.8
2014,6,23,2.0,3.63,6.0
2014,6,24,1.0,6.04,6.65
2014,6,25,1.0,5.54,9.6
2014,6,26,2.0,3.49,8.1
2014,6,27,2.0,5.05,6.2
2014,6,28,3.0,6.45,9.6
2014,6,29,3.0,7.29,10.55
2014,6,30,5.0,10.51,11.6
2014,7,1,5.0,9.39,10.05
2014,7,2,7.0,7.17,8.95
2014,7,3,7.0,4.76,10.95
2014,7,4,6.0,6.45,10.7
2014,7,5,5.0,7.29,11.3
2014,7,6,4.0,6.07,9.7
2014,7,7,6.0,9.88,11.5
2014,7,8,0.0,5.16,8.3
2014,7,9,6.0,7.11,8.05
2014,7,10,4.0,3.35,8.6
2014,7,11,4.0,5.38,10.3
2014,7,12,5.0,7.35,12.55
2014,7,13,6.0,8.58,9.85
2014,7,14,6.0,6.35,9.2
2014,7,15,0.0,4.16,8.15
2014,7,16,6.0,6.53,10.85
2014,7,17,5.0,4.35,9.55
