YY,MM,DD,DISC
2015,07,21,695
2015,07,22,706
2015,07,23,567
2015,07,24,544
2015,07,25,538
2015,07,26,539
2015,07,27,532
2015,07,28,455
2015,07,29,382
2015,07,30,367
2015,07,31,349
2015,08,01,356
2015,08,02,363
2015,08,03,352
2015,08,04,290
2015,08,05,313
2015,08,06,312
2015,08,07,360
2015,08,08,498
2015,08,09,431
2015,08,10,385
2015,08,11,443
2015,08,12,462
2015,08,13,449
2015,08,14,346
2015,08,15,335
2015,08,16,310
2015,08,17,305
2015,08,18,313
2015,08,19,390
2015,08,20,511
2015,08,21,534
2015,08,22,547
2015,08,23,646
2015,08,24,814
2015,08,25,555
2015,08,26,621
2015,08,27,639
2015,08,28,626
2015,08,29,423
2015,08,30,479
2015,08,31,513
2015,09,01,501
2015,09,02,480
2015,09,03,475
2015,09,04,888
2015,09,05,1020
2015,09,06,1900
2015,09,07,5090
2015,09,08,5280
2015,09,09,4630
2015,09,10,4050
2015,09,11,3610
2015,09,12,3140
2015,09,13,2850
2015,09,14,2570
2015,09,15,2320
2015,09,16,2160
2015,09,17,1860
2015,09,18,1760
2015,09,19,1930
2015,09,20,1960
2015,09,21,1780
2015,09,22,1730
2015,09,23,1770
2015,09,24,4990
2015,09,25,8040
2015,09,26,6860
2015,09,27,5720
2015,09,28,4820
2015,09,29,4140
2015,09,30,3620
2015,10,01,3130
2015,10,02,2710
2015,10,03,2530
2015,10,04,2330
2015,10,05,2210
2015,10,06,1960
2015,10,07,1930
2015,10,08,1970
2015,10,09,1820
2015,10,10,1850
2015,10,11,1830
2015,10,12,1750
2015,10,13,1600
2015,10,14,1530
2015,10,15,1550
2015,10,16,1490
2015,10,17,1380
2015,10,18,1330
2015,10,19,1290
2015,10,20,1290
2015,10,21,1230
2015,10,22,1210
2015,10,23,1180
2015,10,24,1400
2015,10,25,1620
2015,10,26,1920
2015,10,27,1830
2015,10,28,1820
2015,10,29,2110
2015,10,30,2610
2015,10,31,2890
2016,06,01,1850
2016,06,02,1790
2016,06,03,1850
2016,06,04,1960
2016,06,05,2290
2016,06,06,2570
2016,06,07,2700
2016,06,08,2500
2016,06,09,2430
2016,06,10,2300
2016,06,11,2290
2016,06,12,2100
2016,06,13,2070
2016,06,14,2470
2016,06,15,3950
2016,06,16,5280
2016,06,17,5950
2016,06,18,5620
2016,06,19,5160
2016,06,20,4900
2016,06,21,5710
2016,06,22,5460
2016,06,23,5020
2016,06,24,4720
2016,06,25,4680
2016,06,26,4680
2016,06,27,4810
2016,06,28,4530
2016,06,29,3760
2016,06,30,3220
2016,07,01,2750
2016,07,02,2280
2016,07,03,2160
2016,07,04,1910
2016,07,05,1770
2016,07,06,1790
2016,07,07,1730
2016,07,08,1870
2016,07,09,2400
2016,07,10,3220
2016,07,11,3350
2016,07,12,4950
2016,07,13,7050
2016,07,14,6770
2016,07,15,6540
2016,07,16,6210
2016,07,17,5670
2016,07,18,5060
2016,07,19,4580
2016,07,20,3820
2016,07,21,3630
2016,07,22,3590
2016,07,23,3400
2016,07,24,3080
2016,07,25,2690
2016,07,26,2390
2016,07,27,2110
2016,07,28,1940
2016,07,29,1880
2016,07,30,1750
2016,07,31,1600
2016,08,01,1400
2016,08,02,1390
2016,08,03,1770
2016,08,04,2260
2016,08,05,2470
2016,08,06,2620
2016,08,07,2530
2016,08,08,2310
2016,08,09,2130
2016,08,10,2010
2016,08,11,1880
2016,08,12,2090
2016,08,13,1820
2016,08,14,1780
2016,08,15,1940
2016,08,16,2150
2016,08,17,2070
2016,08,18,1940
2016,08,19,1760
2016,08,20,1630
2016,08,21,1530
2016,08,22,1440
2016,08,23,1390
2016,08,24,1340
2016,08,25,1080
2016,08,26,961
2016,08,27,881
2016,08,28,836
2016,08,29,835
2016,08,30,1070
2016,08,31,1560
2016,09,01,1640
2016,09,02,1400
2016,09,03,1230
