YY,MM,DD,DISC 
2017,09,13,146
2017,09,14,146
2017,09,15,146
2017,09,16,157
2017,09,17,166
2017,09,18,160
2017,09,19,155
2017,09,20,167
2017,09,21,164
2017,09,22,168
2017,09,23,174
2017,09,24,172
2017,09,25,173
2017,09,26,204
2017,09,27,200
2017,09,28,186
2017,09,29,183
2017,09,30,172
2017,10,01,166
2017,10,02,174
2017,10,03,545
2017,10,04,499
2017,10,05,406
2017,10,06,373
2017,10,07,353
2017,10,08,326
2017,10,09,292
2017,10,10,268
2017,10,11,250
2017,10,12,236
2017,10,13,225
2017,10,14,215
2017,10,15,250
2017,10,16,244
2017,10,17,237
2017,10,18,226
2017,10,19,210
2017,10,20,200
2017,10,21,196
2017,10,22,194
2017,10,23,189
2017,10,24,190
2017,10,25,188
2017,10,26,184
2017,10,27,225
2017,10,28,268
2017,10,29,254
2017,10,30,246
2017,10,31,242
2018,06,01,288
2018,06,02,292
2018,06,03,326
2018,06,04,293
2018,06,05,266
2018,06,06,255
2018,06,07,241
2018,06,08,229
2018,06,09,218
2018,06,10,210
2018,06,11,203
2018,06,12,198
2018,06,13,191
2018,06,14,182
2018,06,15,273
2018,06,16,343
2018,06,17,964
2018,06,18,1030
2018,06,19,860
2018,06,20,738
2018,06,21,632
2018,06,22,561
2018,06,23,497
2018,06,24,434
2018,06,25,381
2018,06,26,343
2018,06,27,311
2018,06,28,281
2018,06,29,258
2018,06,30,241
2018,07,01,274
2018,07,02,310
2018,07,03,271
2018,07,04,245
2018,07,05,224
2018,07,06,200
2018,07,07,187
2018,07,08,176
2018,07,09,168
2018,07,10,162
2018,07,11,157
2018,07,12,162
2018,07,13,160
2018,07,14,153
2018,07,15,148
2018,07,16,143
2018,07,17,139
2018,07,18,137
2018,07,19,134
2018,07,20,133
2018,07,21,132
2018,07,22,130
2018,07,23,127
2018,07,24,127
2018,07,25,131
2018,07,26,133
2018,07,27,130
2018,07,28,129
2018,07,29,129
2018,07,30,129
2018,07,31,135
2018,08,01,141
2018,08,02,139
2018,08,03,140
2018,08,04,142
2018,08,05,142
2018,08,06,138
2018,08,07,135
2018,08,08,138
2018,08,09,138
2018,08,10,133
2018,08,11,131
2018,08,12,130
2018,08,13,129
2018,08,14,128
2018,08,15,128
2018,08,16,128
2018,08,17,127
2018,08,18,127
2018,08,19,127
2018,08,20,128
2018,08,21,128
2018,08,22,126
2018,08,23,124
2018,08,24,187
2018,08,25,181
2018,08,26,175
2018,08,27,353
2018,08,28,446
2018,08,29,386
2018,08,30,341
2018,08,31,306
2018,09,01,276
2018,09,02,248
2018,09,03,223
2018,09,04,207
2018,09,05,242
2018,09,06,233
2018,09,07,216
2018,09,08,199
2018,09,09,187
2018,09,10,180
2018,09,11,176
2018,09,12,171
2018,09,13,169
2018,09,14,166
2018,09,15,237
2018,09,16,253
2018,09,17,246
2018,09,18,236
2018,09,19,220
2018,09,20,212
2018,09,21,242
2018,09,22,216
2018,09,23,205
2018,09,24,199
2018,09,25,232
2018,09,26,218
2018,09,27,210
2018,09,28,203
2018,09,29,189
2018,09,30,181
2018,10,01,176
2018,10,02,176
2018,10,03,179
2018,10,04,199
2018,10,05,204
2018,10,06,201
2018,10,07,189
2018,10,08,197
2018,10,09,235
2018,10,10,438
2018,10,11,468
2018,10,12,399
2018,10,13,359
2018,10,14,329
2018,10,15,299
2018,10,16,273
2018,10,17,254
2018,10,18,237
2018,10,19,227
2018,10,20,222
2018,10,21,214
2018,10,22,207
2018,10,23,201
2018,10,24,195
2018,10,25,193
2018,10,26,192
2018,10,27,191
2018,10,28,213
2018,10,29,213
2018,10,30,209
2018,10,31,205
2019,06,01,235
2019,06,02,221
2019,06,03,212
2019,06,04,249
2019,06,05,330
2019,06,06,281
2019,06,07,252
2019,06,08,229
2019,06,09,216
2019,06,10,212
2019,06,11,201
2019,06,12,191
2019,06,13,184
2019,06,14,182
2019,06,15,186
2019,06,16,179
2019,06,17,175
2019,06,18,173
2019,06,19,170
2019,06,20,167
2019,06,21,164
2019,06,22,163
2019,06,23,163
2019,06,24,169
2019,06,25,170
2019,06,26,167
2019,06,27,163
2019,06,28,165
2019,06,29,162
2019,06,30,225
2019,07,01,245
2019,07,02,227
2019,07,03,208
2019,07,04,196
2019,07,05,198
2019,07,06,182
2019,07,07,174
2019,07,08,169
2019,07,09,166
2019,07,10,167
2019,07,11,163
2019,07,12,161
2019,07,13,158
2019,07,14,156
2019,07,15,156
2019,07,16,155
2019,07,17,153
2019,07,18,158
2019,07,19,165
2019,07,20,167
2019,07,21,163
2019,07,22,158
2019,07,23,150
2019,07,24,148
2019,07,25,147
2019,07,26,145
2019,07,27,144
2019,07,28,146
2019,07,29,163
2019,07,30,157
2019,07,31,151
2019,08,01,146
2019,08,02,143
2019,08,03,143
2019,08,04,142
2019,08,05,146
2019,08,06,147
2019,08,07,148
2019,08,08,148
2019,08,09,144
2019,08,10,141
2019,08,11,139
2019,08,12,138
2019,08,13,139
2019,08,14,139
2019,08,15,138
2019,08,16,138
2019,08,17,139
2019,08,18,148
2019,08,19,146
2019,08,20,144
2019,08,21,143
2019,08,22,141
2019,08,23,137
2019,08,24,137
2019,08,25,136
2019,08,26,143
2019,08,27,154
2019,08,28,155
2019,08,29,151
2019,08,30,146
2019,08,31,143
2019,09,01,143
2019,09,02,143
2019,09,03,153
2019,09,04,150
2019,09,05,154
2019,09,06,155
2019,09,07,152
2019,09,08,150
2019,09,09,152
2019,09,10,165
2019,09,11,163
2019,09,12,171
2019,09,13,192
2019,09,14,180
2019,09,15,176
2019,09,16,172
2019,09,17,167
2019,09,18,168
2019,09,19,164
2019,09,20,161
2019,09,21,164
2019,09,22,175
2019,09,23,172
2019,09,24,169
2019,09,25,166
2019,09,26,161
2019,09,27,161
2019,09,28,159
2019,09,29,157
2019,09,30,314
2019,10,01,386
2019,10,02,303
2019,10,03,295
2019,10,04,272
2019,10,05,263
2019,10,06,259
2019,10,07,243
2019,10,08,231
2019,10,09,219
