#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 05 23 06 00  61  2.7  3.0  1.30 99.00 99.00 999 1006.5   3.4   3.1   3.4 99.0 99.00
2019 05 23 06 10  55  2.6  2.8  1.20 99.00 99.00 999 1006.5   3.4   3.1   3.4 99.0 99.00
2019 05 23 06 20  48  2.7  2.8  1.10 99.00 99.00 999 1006.6   3.3   3.1   3.3 99.0 99.00
2019 05 23 06 30  44  2.8  2.9  1.10 99.00 99.00 999 1006.6   3.3   3.1   3.3 99.0 99.00
2019 05 23 06 40  58  2.7  3.0  1.00 99.00 99.00 999 1006.6   3.3   3.1   3.3 99.0 99.00
2019 05 23 06 50  55  2.7  3.0  1.10 99.00 99.00 999 1006.6   3.2   3.1   3.2 99.0 99.00
2019 05 23 07 00  50  2.5  2.7  1.10 99.00 99.00 999 1006.6   3.2   3.1   3.2 99.0 99.00
2019 05 23 07 10  49  2.4  2.7  1.10 99.00 99.00 999 1006.8   3.2   3.1   3.2 99.0 99.00
2019 05 23 07 20  56  2.4  2.8  1.10 99.00 99.00 999 1006.9   3.2   3.1   3.2 99.0 99.00
2019 05 23 07 30  66  2.5  2.6  0.90 99.00 99.00 999 1006.6   3.2   3.1   3.2 99.0 99.00
2019 05 23 07 40  45  2.6  2.8  1.10 99.00 99.00 999 1006.6   3.2   3.1   3.2 99.0 99.00
2019 05 23 07 50  55  2.7  2.9  1.10 99.00 99.00 999 1006.6   3.2   3.1   3.2 99.0 99.00
2019 05 23 08 00  62  2.5  2.9  0.90 99.00 99.00 999 1006.4   3.3   3.1   3.2 99.0 99.00
2019 05 23 08 10  65  2.1  2.4  1.00 99.00 99.00 999 1006.5   3.3   3.1   3.3 99.0 99.00
2019 05 23 08 20  66  1.6  2.0  0.90 99.00 99.00 999 1006.6   3.3   3.1   3.3 99.0 99.00
2019 05 23 08 30  62  1.5  1.8  0.90 99.00 99.00 999 1006.7   3.3   3.1   3.3 99.0 99.00
