YY,MM,DD,DISC 
2015,08,08,159
2015,08,09,219
2015,08,10,258
2015,08,11,200
2015,08,12,151
2015,08,13,120
2015,08,14,99.5
2015,08,15,84.7
2015,08,16,72.6
2015,08,17,65.2
2015,08,18,62.6
2015,08,19,160
2015,08,20,407
2015,08,21,349
2015,08,22,265
2015,08,23,295
2015,08,24,416
2015,08,25,335
2015,08,26,267
2015,08,27,217
2015,08,28,180
2015,08,29,155
2015,08,30,134
2015,08,31,120
2015,09,01,109
2015,09,02,114
2015,09,03,107
2015,09,04,96.5
2015,09,05,88.6
2015,09,06,146
2015,09,07,194
2015,09,08,179
2015,09,09,140
2015,09,10,114
2015,09,11,99.4
2015,09,12,88.9
2015,09,13,80.7
2015,09,14,73.9
2015,09,15,69.4
2015,09,16,62.2
2015,09,17,62.4
2015,09,18,79.5
2015,09,19,96.7
2015,09,20,83.6
2015,09,21,72.9
2015,09,22,64.3
2015,09,23,73.8
2015,09,24,148
2015,09,25,320
2015,09,26,265
2015,09,27,213
2015,09,28,179
2015,09,29,151
2015,09,30,128
2015,10,01,111
2015,10,02,100
2015,10,03,100
2015,10,04,91.0
2015,10,05,82.5
2015,10,06,78.0
2015,10,07,74.7
2015,10,08,81.3
2015,10,09,105
2015,10,10,126
2015,10,11,111
2015,10,12,115
2015,10,13,130
2015,10,14,113
2015,10,15,96.2
2015,10,16,85.7
2015,10,17,79.3
2015,10,18,77.1
2015,10,19,74.3
2015,10,20,72.0
2015,10,21,71.9
2015,10,22,70.3
2015,10,23,73.8
2015,10,24,114
2015,10,25,236
2015,10,26,238
2015,10,27,340
2015,10,28,408
2015,10,29,620
2015,10,30,607
2015,10,31,513
2016,06,01,252
2016,06,02,265
2016,06,03,227
2016,06,04,347
2016,06,05,487
2016,06,06,684
2016,06,07,560
2016,06,08,351
2016,06,09,251
2016,06,10,197
2016,06,11,168
2016,06,12,145
2016,06,13,132
2016,06,14,130
2016,06,15,168
2016,06,16,573
2016,06,17,452
2016,06,18,294
2016,06,19,220
2016,06,20,1700
2016,06,21,1130
2016,06,22,521
2016,06,23,355
2016,06,24,275
2016,06,25,217
2016,06,26,3250
2016,06,27,2800
2016,06,28,1270
2016,06,29,798
2016,06,30,594
2016,07,01,519
2016,07,02,419
2016,07,03,325
2016,07,04,273
2016,07,05,224
2016,07,06,201
2016,07,07,235
2016,07,08,211
2016,07,09,250
2016,07,10,217
2016,07,11,496
2016,07,12,9860
2016,07,13,7090
2016,07,14,3740
2016,07,15,1900
2016,07,16,1340
2016,07,17,1020
2016,07,18,794
2016,07,19,634
2016,07,20,530
2016,07,21,461
2016,07,22,414
2016,07,23,356
2016,07,24,314
2016,07,25,293
2016,07,26,255
2016,07,27,224
2016,07,28,205
2016,07,29,189
2016,07,30,166
2016,07,31,148
2016,08,01,134
2016,08,02,123
2016,08,03,110
2016,08,04,110
2016,08,05,113
2016,08,06,105
2016,08,07,93.1
2016,08,08,82.4
2016,08,09,78.1
2016,08,10,78.7
2016,08,11,215
2016,08,12,380
2016,08,13,312
2016,08,14,272
