YY MM DD DISC 
2017 06 08 391
2017 06 09 353
2017 06 10 317
2017 06 11 296
2017 06 12 297
2017 06 13 343
2017 06 14 548
2017 06 15 522
2017 06 16 457
2017 06 17 380
2017 06 18 475
2017 06 19 966
2017 06 20 853
2017 06 21 648
2017 06 22 505
2017 06 23 416
2017 06 24 358
2017 06 25 342
2017 06 26 483
2017 06 27 543
2017 06 28 447
2017 06 29 539
2017 06 30 591
2017 07 01 528
2017 07 02 456
2017 07 03 381
2017 07 04 329
2017 07 05 320
2017 07 06 329
2017 07 07 397
2017 07 08 450
2017 07 09 382
2017 07 10 395
2017 07 11 352
2017 07 12 311
2017 07 13 307
2017 07 14 291
2017 07 15 267
2017 07 16 241
2017 07 17 212
2017 07 18 210
2017 07 19 233
2017 07 20 212
2017 07 21 192
2017 07 22 196
2017 07 23 298
2017 07 24 239
2017 07 25 202
2017 07 26 181
2017 07 27 166
2017 07 28 157
2017 07 29 152
2017 07 30 146
2017 07 31 139
2017 08 01 132
2017 08 02 129
2017 08 03 146
2017 08 04 347
2017 08 05 409
2017 08 06 322
2017 08 07 252
2017 08 08 209
2017 08 09 183
2017 08 10 202
2017 08 11 378
2017 08 12 352
2017 08 13 271
2017 08 14 230
2017 08 15 208
2017 08 16 188
2017 08 17 387
2017 08 18 1090
2017 08 19 759
2017 08 20 562
2017 08 21 442
2017 08 22 393
2017 08 23 328
2017 08 24 272
2017 08 25 232
2017 08 26 216
2017 08 27 436
2017 08 28 677
2017 08 29 602
2017 08 30 515
2017 08 31 457
2017 09 01 381
2017 09 02 326
2017 09 03 317
2017 09 04 311
2017 09 05 291
2017 09 06 331
2017 09 07 446
2017 09 08 396
2017 09 09 324
2017 09 10 275
2017 09 11 242
2017 09 12 222
2017 09 13 203
2017 09 14 184
2017 09 15 171
2017 09 16 161
2017 09 17 167
2017 09 18 196
2017 09 19 209
2017 09 20 220
2017 09 21 268
2017 09 22 314
2017 09 23 817
2017 09 24 754
2017 09 25 594
2017 09 26 941
2017 09 27 1000
2017 09 28 802
2017 09 29 682
2017 09 30 584
2017 10 01 486
2017 10 02 466
2017 10 03 2690
2017 10 04 2100
2017 10 05 1550
2017 10 06 1120
2017 10 07 917
2017 10 08 1110
2017 10 09 997
2017 10 10 808
2017 10 11 658
2017 10 12 562
2017 10 13 504
2017 10 14 457
2017 10 15 880
2017 10 16 1360
2017 10 17 1060
2017 10 18 832
2017 10 19 674
2017 10 20 569
2017 10 21 499
2017 10 22 484
2017 10 23 484
2017 10 24 527
2017 10 25 898
2017 10 26 865
2017 10 27 1410
2017 10 28 3480
2017 10 29 2440
2017 10 30 1870
2017 10 31 1620
2018 06 01 1340
2018 06 02 1050
2018 06 03 1640
2018 06 04 1470
2018 06 05 1130
2018 06 06 868
2018 06 07 745
2018 06 08 633
2018 06 09 543
2018 06 10 477
2018 06 11 418
2018 06 12 379
2018 06 13 371
2018 06 14 332
2018 06 15 2030
2018 06 16 8230
2018 06 17 8840
2018 06 18 12600
2018 06 19 7560
2018 06 20 3900
2018 06 21 2190
2018 06 22 1400
2018 06 23 1030
2018 06 24 794
2018 06 25 639
2018 06 26 531
2018 06 27 455
2018 06 28 403
2018 06 29 363
2018 06 30 338
2018 07 01 551
2018 07 02 954
2018 07 03 664
2018 07 04 513
2018 07 05 557
2018 07 06 458
2018 07 07 365
2018 07 08 306
2018 07 09 267
2018 07 10 238
2018 07 11 219
2018 07 12 212
2018 07 13 231
2018 07 14 224
2018 07 15 205
2018 07 16 185
2018 07 17 170
2018 07 18 159
2018 07 19 153
2018 07 20 156
2018 07 21 178
2018 07 22 185
2018 07 23 177
2018 07 24 168
2018 07 25 163
2018 07 26 227
2018 07 27 263
2018 07 28 244
2018 07 29 211
2018 07 30 187
2018 07 31 167
2018 08 01 160
2018 08 02 178
2018 08 03 206
2018 08 04 349
2018 08 05 662
2018 08 06 633
2018 08 07 500
2018 08 08 377
2018 08 09 316
2018 08 10 282
2018 08 11 255
