YY,MM,DD,WDIR,WSPD,ATMP
2013.0,6.0,28.0,6.0,3.71,19.3
2013.0,6.0,29.0,1.0,1.34,16.35
2013.0,6.0,30.0,2.0,1.33,19.4
2013.0,7.0,1.0,1.0,2.7,16.8
2013.0,7.0,2.0,1.0,1.74,13.5
2013.0,7.0,3.0,1.0,1.64,14.5
2013.0,7.0,4.0,1.0,1.65,15.5
2013.0,7.0,5.0,1.0,2.05,17.65
2013.0,7.0,6.0,5.0,2.99,23.7
2013.0,7.0,7.0,1.0,3.49,15.35
2013.0,7.0,8.0,1.0,3.44,12.6
2013.0,7.0,9.0,1.0,1.94,12.0
2013.0,7.0,10.0,7.0,4.26,19.4
2013.0,7.0,11.0,1.0,2.16,20.4
2013.0,7.0,12.0,1.0,2.02,17.1
2013.0,7.0,13.0,5.0,2.36,20.5
2013.0,7.0,14.0,1.0,1.59,17.55
2013.0,7.0,15.0,1.0,1.41,19.0
2013.0,7.0,16.0,1.0,2.67,16.95
2013.0,7.0,17.0,5.0,3.99,27.9
2013.0,7.0,18.0,1.0,2.75,18.9
2013.0,7.0,19.0,6.0,5.94,25.2
2013.0,7.0,20.0,1.0,3.07,17.9
2013.0,7.0,21.0,1.0,4.39,15.3
2013.0,7.0,22.0,1.0,4.67,15.55
2013.0,7.0,23.0,1.0,2.65,18.1
2013.0,7.0,24.0,5.0,2.48,17.7
2013.0,7.0,25.0,5.0,3.48,21.05
2013.0,7.0,26.0,1.0,3.11,13.9
2013.0,7.0,27.0,7.0,3.33,12.1
2013.0,7.0,28.0,7.0,3.64,13.0
2013.0,7.0,29.0,5.0,2.09,17.9
2013.0,7.0,30.0,1.0,1.85,18.1
2013.0,7.0,31.0,6.0,5.21,21.45
2013.0,8.0,1.0,6.0,5.35,20.2
2013.0,8.0,2.0,7.0,3.01,19.7
2013.0,8.0,3.0,7.0,3.61,19.65
2013.0,8.0,4.0,0.0,1.54,17.8
2013.0,8.0,5.0,1.0,1.94,16.9
2013.0,8.0,6.0,5.0,2.29,16.9
2013.0,8.0,7.0,7.0,3.06,19.5
2013.0,8.0,8.0,5.0,2.43,17.55
2013.0,8.0,9.0,6.0,4.67,19.2
2013.0,8.0,10.0,5.0,1.7,18.05
2013.0,8.0,11.0,5.0,2.56,20.35
2013.0,8.0,12.0,1.0,2.88,19.2
2013.0,8.0,13.0,1.0,1.52,16.1
2013.0,8.0,14.0,2.0,1.32,15.9
2013.0,8.0,15.0,5.0,1.87,19.4
2013.0,8.0,16.0,5.0,1.71,20.45
2013.0,8.0,17.0,5.0,4.36,22.3
2013.0,8.0,18.0,5.0,4.78,21.7
2013.0,8.0,19.0,5.0,4.41,22.15
2013.0,8.0,20.0,5.0,3.59,24.8
2013.0,8.0,21.0,5.0,3.79,26.1
2013.0,8.0,22.0,2.0,1.94,22.15
2013.0,8.0,23.0,1.0,1.19,19.0
2013.0,8.0,24.0,1.0,2.43,19.1
2013.0,8.0,25.0,5.0,5.3,26.35
2013.0,8.0,26.0,1.0,2.01,23.2
2013.0,8.0,27.0,1.0,2.12,21.1
2013.0,8.0,28.0,1.0,1.2,19.9
2013.0,8.0,29.0,1.0,1.26,21.1
2013.0,8.0,30.0,1.0,2.17,23.0
2013.0,8.0,31.0,5.0,2.55,20.6
2013.0,9.0,1.0,7.0,5.31,20.75
2013.0,9.0,2.0,0.0,2.21,14.7
2013.0,9.0,3.0,5.0,3.32,16.8
2013.0,9.0,4.0,1.0,3.99,16.7
2013.0,9.0,5.0,1.0,1.44,15.1
2013.0,9.0,6.0,5.0,1.91,17.3
2013.0,9.0,7.0,1.0,2.29,19.7
2013.0,9.0,8.0,1.0,3.39,16.0
2013.0,9.0,9.0,1.0,2.79,15.4
2013.0,9.0,10.0,5.0,2.86,19.75
2013.0,9.0,11.0,7.0,4.33,20.95
2013.0,9.0,12.0,0.0,2.94,15.9
2013.0,9.0,13.0,0.0,1.44,14.2
2013.0,9.0,14.0,5.0,4.49,15.55
2013.0,9.0,15.0,1.0,3.94,14.2
2013.0,9.0,16.0,5.0,1.39,10.7
2013.0,9.0,17.0,1.0,1.92,12.85
2013.0,9.0,18.0,1.0,2.23,15.3
2013.0,9.0,19.0,1.0,2.09,15.7
2013.0,9.0,20.0,7.0,3.56,16.0
2013.0,9.0,21.0,7.0,2.66,11.7
2013.0,9.0,22.0,1.0,3.22,11.85
2013.0,9.0,23.0,1.0,3.12,13.4
2013.0,9.0,24.0,1.0,1.58,14.2
2013.0,9.0,25.0,1.0,2.05,12.7
2013.0,9.0,26.0,1.0,4.69,12.7
2013.0,9.0,27.0,1.0,2.31,15.1
2013.0,9.0,28.0,5.0,3.13,18.6
2013.0,9.0,29.0,5.0,4.18,12.25
2013.0,9.0,30.0,5.0,3.2,16.3
2013.0,10.0,1.0,5.0,4.3,18.8
2013.0,10.0,2.0,5.0,3.72,15.05
2013.0,10.0,3.0,1.0,3.98,13.0
2013.0,10.0,4.0,1.0,6.83,12.4
2013.0,10.0,5.0,1.0,11.48,10.0
2013.0,10.0,6.0,1.0,5.49,10.15
2013.0,10.0,7.0,7.0,4.38,10.1
2013.0,10.0,8.0,1.0,1.95,12.7
2013.0,10.0,9.0,5.0,3.44,18.0
2013.0,10.0,10.0,1.0,1.96,13.8
2013.0,10.0,11.0,1.0,3.84,13.65
2013.0,10.0,12.0,5.0,6.53,13.9
2013.0,10.0,13.0,5.0,3.53,10.2
2013.0,10.0,14.0,1.0,2.18,9.6
2013.0,10.0,15.0,1.0,8.86,9.7
2013.0,10.0,16.0,0.0,2.93,7.7
2013.0,10.0,17.0,5.0,2.04,7.9
2013.0,10.0,18.0,7.0,3.32,7.3
