YY,MM,DD,WDIR,WSPD,ATMP
2014.0,8.0,9.0,4.0,1.38,19.4
2014.0,8.0,10.0,4.0,1.38,20.0
2014.0,8.0,11.0,0.0,2.54,18.6
2014.0,8.0,12.0,0.0,3.24,17.0
2014.0,8.0,13.0,1.0,2.6,17.8
2014.0,8.0,14.0,4.0,1.38,14.3
2014.0,8.0,15.0,4.0,2.75,15.0
2014.0,8.0,16.0,1.0,3.54,20.8
2014.0,8.0,17.0,1.0,2.23,14.5
2014.0,8.0,18.0,0.0,0.56,16.7
2014.0,8.0,19.0,0.0,1.66,16.7
2014.0,8.0,20.0,0.0,1.48,16.0
2014.0,8.0,21.0,0.0,0.96,18.3
2014.0,8.0,22.0,0.0,0.53,18.6
2014.0,8.0,23.0,0.0,0.74,17.0
2014.0,8.0,24.0,0.0,1.27,21.1
2014.0,8.0,25.0,4.0,3.35,25.3
2014.0,8.0,26.0,5.0,1.87,17.4
2014.0,8.0,27.0,4.0,0.99,14.25
2014.0,8.0,28.0,4.0,2.47,15.1
2014.0,8.0,29.0,4.0,1.23,18.4
2014.0,8.0,30.0,1.0,3.21,16.8
2014.0,8.0,31.0,4.0,1.16,15.2
2014.0,9.0,1.0,4.0,2.44,19.9
2014.0,9.0,2.0,4.0,2.34,16.7
2014.0,9.0,3.0,4.0,3.31,17.0
2014.0,9.0,4.0,4.0,1.76,17.8
2014.0,9.0,5.0,5.0,2.53,17.65
2014.0,9.0,6.0,4.0,2.58,14.4
2014.0,9.0,7.0,4.0,3.36,16.4
2014.0,9.0,8.0,4.0,2.89,19.0
2014.0,9.0,9.0,4.0,2.74,18.6
2014.0,9.0,10.0,1.0,13.01,11.0
2014.0,9.0,11.0,1.0,7.98,9.7
2014.0,9.0,12.0,4.0,2.13,6.1
2014.0,9.0,13.0,4.0,1.8,7.1
2014.0,9.0,14.0,4.0,3.25,10.8
2014.0,9.0,15.0,4.0,2.88,10.5
2014.0,9.0,16.0,4.0,3.71,10.1
2014.0,9.0,17.0,4.0,3.83,12.4
2014.0,9.0,18.0,1.0,2.6,8.1
2014.0,9.0,19.0,4.0,3.66,15.4
2014.0,9.0,20.0,4.0,2.8,19.8
2014.0,9.0,21.0,1.0,5.0,11.9
2014.0,9.0,22.0,4.0,2.67,10.4
2014.0,9.0,23.0,4.0,2.28,15.3
2014.0,9.0,24.0,4.0,1.66,14.7
2014.0,9.0,25.0,4.0,1.67,16.9
2014.0,9.0,26.0,0.0,0.31,15.7
2014.0,9.0,27.0,4.0,2.22,17.4
2014.0,9.0,28.0,4.0,1.73,18.7
2014.0,9.0,29.0,1.0,8.64,8.9
2014.0,9.0,30.0,2.0,3.14,7.0
2014.0,10.0,1.0,0.0,0.49,6.5
2014.0,10.0,2.0,0.0,0.48,12.3
2014.0,10.0,3.0,6.0,2.94,11.5
2014.0,10.0,4.0,6.0,6.56,7.35
2014.0,10.0,5.0,5.0,2.85,5.0
2014.0,10.0,6.0,5.0,3.69,6.4
2014.0,10.0,7.0,4.0,2.91,8.6
2014.0,10.0,8.0,6.0,3.56,7.3
2014.0,10.0,9.0,5.0,3.06,6.0
2014.0,10.0,10.0,4.0,2.41,3.1
2014.0,10.0,11.0,5.0,1.8,6.5
2014.0,10.0,12.0,4.0,2.42,8.1
2014.0,10.0,13.0,0.0,1.07,10.3
2014.0,10.0,14.0,1.0,5.34,9.6
2014.0,10.0,15.0,0.0,2.19,8.9
2014.0,10.0,16.0,0.0,1.43,4.5
2014.0,10.0,17.0,0.0,4.7,8.9
2014.0,10.0,18.0,0.0,5.5,5.9
