YY,MM,DD,WDIR,WSPD,ATMP
2013.0,7.0,5.0,4.0,4.55,24.4
2013.0,7.0,6.0,4.0,4.81,26.0
2013.0,7.0,7.0,4.0,3.05,18.6
2013.0,7.0,8.0,7.0,1.91,11.9
2013.0,7.0,9.0,1.0,1.27,13.6
2013.0,7.0,10.0,7.0,3.12,17.9
2013.0,7.0,11.0,4.0,1.78,18.9
2013.0,7.0,12.0,4.0,3.68,22.8
2013.0,7.0,13.0,4.0,3.52,25.4
2013.0,7.0,14.0,4.0,1.83,20.7
2013.0,7.0,15.0,4.0,1.16,20.1
2013.0,7.0,16.0,5.0,2.12,22.1
2013.0,7.0,17.0,4.0,2.7,25.8
2013.0,7.0,18.0,5.0,3.15,23.25
2013.0,7.0,19.0,7.0,3.94,24.5
2013.0,7.0,20.0,1.0,4.49,17.5
2013.0,7.0,21.0,1.0,3.31,16.5
2013.0,7.0,22.0,4.0,3.43,18.85
2013.0,7.0,23.0,0.0,4.23,17.3
2013.0,7.0,24.0,4.0,2.23,16.2
2013.0,7.0,25.0,4.0,3.13,18.1
2013.0,7.0,26.0,1.0,4.21,14.3
2013.0,7.0,27.0,7.0,5.57,11.8
2013.0,7.0,28.0,0.0,4.48,13.2
2013.0,7.0,29.0,4.0,2.26,14.65
2013.0,7.0,30.0,4.0,2.43,18.1
2013.0,7.0,31.0,4.0,2.8,19.2
2013.0,8.0,1.0,5.0,2.43,18.0
2013.0,8.0,2.0,4.0,2.25,18.1
2013.0,8.0,3.0,4.0,2.27,16.8
2013.0,8.0,4.0,4.0,2.51,16.45
2013.0,8.0,5.0,4.0,2.65,15.4
2013.0,8.0,6.0,0.0,1.26,18.6
2013.0,8.0,7.0,0.0,2.11,18.0
2013.0,8.0,8.0,4.0,1.77,16.4
2013.0,8.0,9.0,4.0,3.4,17.5
2013.0,8.0,10.0,4.0,2.04,16.2
2013.0,8.0,11.0,4.0,2.17,16.5
2013.0,8.0,12.0,4.0,3.78,16.8
2013.0,8.0,13.0,4.0,2.4,13.8
2013.0,8.0,14.0,4.0,2.08,13.5
2013.0,8.0,15.0,4.0,2.46,16.05
2013.0,8.0,16.0,4.0,2.22,17.3
2013.0,8.0,17.0,4.0,3.21,19.3
2013.0,8.0,18.0,4.0,2.88,19.3
2013.0,8.0,19.0,4.0,3.46,21.4
2013.0,8.0,20.0,4.0,3.58,24.0
2013.0,8.0,21.0,4.0,2.69,26.1
2013.0,8.0,22.0,4.0,1.85,20.6
2013.0,8.0,23.0,4.0,2.08,18.1
2013.0,8.0,24.0,4.0,3.15,20.6
2013.0,8.0,25.0,4.0,5.33,27.15
2013.0,8.0,26.0,4.0,3.09,23.8
2013.0,8.0,27.0,4.0,2.13,22.8
2013.0,8.0,28.0,0.0,0.71,21.3
2013.0,8.0,29.0,4.0,1.84,23.3
2013.0,8.0,30.0,1.0,4.2,23.1
2013.0,8.0,31.0,4.0,1.45,19.4
2013.0,9.0,1.0,4.0,3.66,21.2
2013.0,9.0,2.0,0.0,5.77,16.0
2013.0,9.0,3.0,4.0,3.17,13.5
2013.0,9.0,4.0,1.0,5.06,19.3
2013.0,9.0,5.0,4.0,2.5,13.7
2013.0,9.0,6.0,4.0,3.17,19.1
2013.0,9.0,7.0,4.0,4.46,21.55
2013.0,9.0,8.0,4.0,2.5,16.8
