YY,MM,DD,WDIR,WSPD,ATMP
2014.0,10.0,3.0,6.0,8.72,6.9
2014.0,10.0,4.0,6.0,9.26,7.3
2014.0,10.0,5.0,6.0,8.03,6.1
2014.0,10.0,6.0,5.0,5.1,7.2
2014.0,10.0,7.0,6.0,6.61,8.8
2014.0,10.0,8.0,6.0,8.97,7.2
2014.0,10.0,9.0,6.0,6.49,7.4
2014.0,10.0,10.0,4.0,3.23,5.3
2014.0,10.0,11.0,4.0,3.0,8.3
2014.0,10.0,12.0,4.0,4.37,8.4
2014.0,10.0,13.0,4.0,2.19,10.9
2014.0,10.0,14.0,1.0,4.76,10.6
2014.0,10.0,15.0,4.0,2.91,5.8
2014.0,10.0,16.0,3.0,3.13,4.8
2014.0,10.0,17.0,0.0,5.68,8.7
2014.0,10.0,18.0,0.0,5.07,5.9
2014.0,10.0,19.0,4.0,2.98,6.7
2014.0,10.0,20.0,7.0,4.47,10.3
2014.0,10.0,21.0,2.0,3.62,7.4
2014.0,10.0,22.0,4.0,2.54,5.8
2014.0,10.0,23.0,4.0,2.59,11.4
2014.0,10.0,24.0,4.0,2.49,10.6
2014.0,10.0,25.0,6.0,6.44,13.1
2014.0,10.0,26.0,6.0,3.35,9.9
2014.0,10.0,27.0,1.0,3.58,9.5
2014.0,10.0,28.0,5.0,5.4,7.9
2014.0,10.0,29.0,6.0,6.94,5.3
2014.0,10.0,30.0,5.0,4.7,5.2
2014.0,10.0,31.0,0.0,8.88,1.1
2015.0,6.0,1.0,1.0,4.7,5.2
2015.0,6.0,2.0,1.0,4.12,6.3
2015.0,6.0,3.0,1.0,1.98,7.7
2015.0,6.0,4.0,1.0,3.48,6.9
2015.0,6.0,5.0,1.0,4.55,6.8
2015.0,6.0,6.0,1.0,4.98,5.6
2015.0,6.0,7.0,1.0,3.5,7.95
2015.0,6.0,8.0,6.0,3.15,15.8
2015.0,6.0,9.0,3.0,1.59,14.65
2015.0,6.0,10.0,6.0,4.29,15.5
2015.0,6.0,11.0,1.0,3.78,14.55
2015.0,6.0,12.0,4.0,1.89,10.8
2015.0,6.0,13.0,1.0,1.3,8.8
2015.0,6.0,14.0,1.0,1.37,23.1
2015.0,6.0,15.0,6.0,3.04,16.8
2015.0,6.0,16.0,7.0,3.0,12.2
