YY,MM,DD,WDIR,WSPD,ATMP
2015.0,7.0,2.0,5.0,3.44,8.2
2015.0,7.0,3.0,6.0,5.7,10.7
2015.0,7.0,4.0,4.0,3.41,11.4
2015.0,7.0,5.0,4.0,4.0,8.85
2015.0,7.0,6.0,6.0,3.4,11.35
2015.0,7.0,7.0,6.0,6.42,10.1
2015.0,7.0,8.0,5.0,6.7,9.6
2015.0,7.0,9.0,5.0,4.11,11.0
2015.0,7.0,10.0,5.0,3.94,11.9
2015.0,7.0,11.0,5.0,2.98,13.3
2015.0,7.0,12.0,2.0,3.53,6.85
2015.0,7.0,13.0,2.0,4.38,8.4
2015.0,7.0,14.0,0.0,3.68,10.9
2015.0,7.0,15.0,3.0,4.2,10.1
2015.0,7.0,16.0,3.0,3.9,9.1
2015.0,7.0,17.0,2.0,2.28,11.05
2015.0,7.0,18.0,2.0,3.68,8.25
2015.0,7.0,19.0,6.0,9.32,13.45
2015.0,7.0,20.0,6.0,9.28,14.15
2015.0,7.0,21.0,6.0,8.09,13.5
2015.0,7.0,22.0,6.0,5.72,14.5
2015.0,7.0,23.0,3.0,2.83,12.25
2015.0,7.0,24.0,3.0,4.47,11.7
2015.0,7.0,25.0,6.0,8.17,17.4
2015.0,7.0,26.0,6.0,4.39,15.6
2015.0,7.0,27.0,4.0,3.1,13.95
2015.0,7.0,28.0,2.0,5.36,12.75
2015.0,7.0,29.0,5.0,10.17,16.05
2015.0,7.0,30.0,6.0,12.21,16.25
2015.0,7.0,31.0,6.0,10.64,14.65
2015.0,8.0,1.0,6.0,9.47,14.9
2015.0,8.0,2.0,5.0,5.89,14.7
2015.0,8.0,3.0,6.0,7.27,13.65
2015.0,8.0,4.0,7.0,4.42,13.4
2015.0,8.0,5.0,6.0,5.73,14.0
2015.0,8.0,6.0,3.0,3.86,13.95
2015.0,8.0,7.0,2.0,6.24,11.75
2015.0,8.0,8.0,3.0,6.03,14.15
2015.0,8.0,9.0,5.0,5.9,14.85
2015.0,8.0,10.0,6.0,4.2,15.25
2015.0,8.0,11.0,7.0,4.69,15.7
2015.0,8.0,12.0,6.0,6.4,16.55
2015.0,8.0,13.0,6.0,3.9,17.2
2015.0,8.0,14.0,6.0,4.53,19.55
2015.0,8.0,15.0,4.0,5.38,19.25
2015.0,8.0,16.0,5.0,9.08,19.65
2015.0,8.0,17.0,6.0,6.56,16.75
2015.0,8.0,18.0,1.0,3.98,15.8
2015.0,8.0,19.0,1.0,8.72,13.6
2015.0,8.0,20.0,7.0,8.6,12.7
2015.0,8.0,21.0,6.0,8.23,14.05
2015.0,8.0,22.0,4.0,6.73,16.65
