date,WDIRcos,WDIRsin,WSPD,ATMP,WTMP,DISC,bloom
2014-08-08,0.0,1.0,3.12,13.65,16.73,476.0,0.0
2014-08-09,-1.0,0.0,3.11,15.65,17.3,454.0,0.0
2014-08-10,0.0,1.0,2.84,15.6,17.82,433.0,0.0
2014-08-11,1.0,0.0,3.8,15.15,17.07,431.0,0.0
2014-08-12,1.0,0.0,4.24,12.45,16.36,437.0,0.0
2014-08-13,1.0,0.0,5.11,13.3,16.01,432.0,0.0
2014-08-14,1.0,0.0,3.94,12.4,15.75,415.0,0.0
2014-08-15,-0.0,-1.0,7.08,14.5,15.62,396.0,0.0
2014-08-16,1.0,0.0,4.7,14.2,15.57,404.0,0.0
2014-08-17,0.71,0.71,3.3,11.2,15.52,400.0,0.0
2014-08-18,0.0,1.0,4.88,10.7,15.46,393.0,0.0
2014-08-19,0.71,0.71,4.53,10.8,15.43,416.0,0.0
2014-08-20,1.0,0.0,2.35,14.35,15.35,438.0,0.0
2014-08-21,0.71,0.71,3.08,14.4,15.08,437.0,0.0
2014-08-22,0.71,0.71,3.99,12.0,14.85,433.0,0.0
2014-08-23,0.71,0.71,3.23,14.55,14.61,428.0,0.0
2014-08-24,0.0,1.0,7.49,13.5,14.4,421.0,0.0
2014-08-25,-1.0,0.0,7.88,14.6,14.25,467.0,0.0
2014-08-26,-0.0,-1.0,10.16,13.75,14.1,421.0,0.0
2014-08-27,0.71,-0.71,5.94,13.75,14.46,397.0,0.0
2014-08-28,-0.0,-1.0,4.71,13.95,14.87,376.0,0.0
2014-08-29,-0.71,0.71,6.79,13.8,15.04,363.0,0.0
2014-08-30,1.0,0.0,2.57,13.45,15.18,387.0,0.0
2014-08-31,0.0,1.0,4.48,13.15,15.35,380.0,0.0
2014-09-01,-0.71,0.71,9.12,14.75,15.35,420.0,0.0
2014-09-02,-0.0,-1.0,7.22,15.6,15.36,454.0,0.0
2014-09-03,-0.71,-0.71,6.04,15.4,15.15,439.0,0.0
2014-09-04,0.0,1.0,3.58,14.3,14.87,420.0,0.0
2014-09-05,-0.0,-1.0,7.41,15.95,14.7,404.0,0.0
2014-09-06,-0.0,-1.0,7.61,14.7,14.62,390.0,0.0
2014-09-07,0.0,1.0,5.61,11.75,14.56,368.0,0.0
2014-09-08,-0.71,-0.71,6.63,15.05,14.46,352.0,0.0
2014-09-09,-0.71,-0.71,5.99,15.1,14.29,337.0,0.0
2014-09-10,0.71,0.71,9.95,6.15,14.28,368.0,0.0
2014-09-11,1.0,0.0,4.46,6.05,14.18,387.0,0.0
2014-09-12,1.0,0.0,2.97,7.2,13.84,362.0,0.0
2014-09-13,-0.71,-0.71,4.84,7.65,13.11,341.0,0.0
2014-09-14,-1.0,0.0,7.62,8.2,12.48,326.0,0.0
2014-09-15,-0.0,-1.0,7.27,9.35,11.84,312.0,0.0
2014-09-16,-0.0,-1.0,9.15,10.5,11.23,301.0,0.0
2014-09-17,0.71,0.71,6.93,5.85,10.68,293.0,0.0
2014-09-18,-0.71,0.71,4.33,6.1,10.47,280.0,0.0
2014-09-19,-1.0,0.0,8.64,8.75,10.27,279.0,0.0
2014-09-20,-0.0,-1.0,6.1,11.65,10.18,297.0,0.0
2014-09-21,1.0,0.0,4.91,8.85,10.11,291.0,0.0
2014-09-22,-0.0,-1.0,7.45,9.45,10.36,282.0,0.0
2014-09-23,-0.0,-1.0,7.06,12.8,10.48,272.0,0.0
2014-09-24,-1.0,0.0,5.02,10.95,10.51,260.0,0.0
2014-09-25,-1.0,0.0,3.35,11.7,10.49,251.0,0.0
2014-09-26,-0.71,0.71,2.83,11.45,10.52,244.0,0.0
2014-09-27,-0.71,-0.71,4.92,11.95,10.57,242.0,0.0
2014-09-28,-0.71,-0.71,5.49,13.35,10.31,240.0,0.0
2014-09-29,0.71,0.71,7.38,5.7,10.03,249.0,0.0
2014-09-30,0.71,0.71,4.4,6.45,9.94,253.0,0.0
2014-10-01,-0.71,0.71,5.7,7.9,9.93,248.0,0.0
